Fecha,Total de operaciones enviadas
13/12/2020,2937
14/12/2020,5972
15/12/2020,6929
16/12/2020,6414
17/12/2020,6138
18/12/2020,6446
19/12/2020,3599
20/12/2020,2737
21/12/2020,5755
22/12/2020,6004
23/12/2020,5977
24/12/2020,4440
25/12/2020,1429
26/12/2020,2330
27/12/2020,2024
28/12/2020,5177
29/12/2020,5879
30/12/2020,6137
31/12/2020,5527
01/01/2021,1759
02/01/2021,3029
03/01/2021,2526
04/01/2021,4773
05/01/2021,6125
06/01/2021,6119
07/01/2021,7071
08/01/2021,7360
09/01/2021,2895
10/01/2021,2163
11/01/2021,6075
12/01/2021,8805
13/01/2021,12305
14/01/2021,13458
15/01/2021,17491
16/01/2021,6387
17/01/2021,2824
18/01/2021,11242
19/01/2021,18716
20/01/2021,22411
21/01/2021,19716
22/01/2021,19151
23/01/2021,6579
24/01/2021,2335
25/01/2021,16725
26/01/2021,22327
27/01/2021,19512
28/01/2021,22718
29/01/2021,11857
30/01/2021,5358
31/01/2021,2722
01/02/2021,3009
02/02/2021,8865
03/02/2021,13089
04/02/2021,15002
05/02/2021,12692
06/02/2021,5212
07/02/2021,2437
08/02/2021,11997
09/02/2021,12740
10/02/2021,14206
11/02/2021,15094
12/02/2021,12700
13/02/2021,5213
14/02/2021,2724
15/02/2021,11054
16/02/2021,12141
17/02/2021,11032
18/02/2021,10791
19/02/2021,10706
20/02/2021,4142
21/02/2021,2620
22/02/2021,9948
23/02/2021,11201
24/02/2021,11933
25/02/2021,12545
26/02/2021,10913
27/02/2021,5012
28/02/2021,3090
01/03/2021,7554
02/03/2021,9218
03/03/2021,9640
04/03/2021,8954
05/03/2021,8366
06/03/2021,3817
07/03/2021,2250
08/03/2021,6697
09/03/2021,7404
10/03/2021,8070
11/03/2021,8277
12/03/2021,6577
13/03/2021,4318
14/03/2021,2434
15/03/2021,2972
16/03/2021,7143
17/03/2021,7009
18/03/2021,6771
19/03/2021,6536
20/03/2021,3297
21/03/2021,2322
22/03/2021,6623
23/03/2021,6618
24/03/2021,6964
25/03/2021,6968
26/03/2021,7636
27/03/2021,3515
28/03/2021,2215
29/03/2021,7265
30/03/2021,6403
31/03/2021,8804
01/04/2021,3806
02/04/2021,2516
03/04/2021,2630
04/04/2021,2128
05/04/2021,5765
06/04/2021,7147
07/04/2021,8262
08/04/2021,8823
09/04/2021,8902
10/04/2021,3725
11/04/2021,2306
12/04/2021,8558
13/04/2021,10528
14/04/2021,12432
15/04/2021,16104
16/04/2021,15668
17/04/2021,5119
18/04/2021,2348
19/04/2021,11368
20/04/2021,14198
21/04/2021,15155
22/04/2021,15828
23/04/2021,15237
24/04/2021,5048
25/04/2021,2173
26/04/2021,13193
27/04/2021,16835
28/04/2021,17422
29/04/2021,18015
30/04/2021,15551
01/05/2021,3555
02/05/2021,2695
03/05/2021,9979
04/05/2021,9503
05/05/2021,8535
06/05/2021,7873
07/05/2021,7742
08/05/2021,3449
09/05/2021,2335
10/05/2021,6109
11/05/2021,6228
12/05/2021,6574
13/05/2021,6863
14/05/2021,8285
15/05/2021,4143
16/05/2021,2733
17/05/2021,6814
18/05/2021,6546
19/05/2021,6553
20/05/2021,6808
21/05/2021,6776
22/05/2021,3162
23/05/2021,2444
24/05/2021,6086
25/05/2021,6336
26/05/2021,6487
27/05/2021,6953
28/05/2021,8289
29/05/2021,3892
30/05/2021,2467
31/05/2021,7508
01/06/2021,6074
02/06/2021,5475
03/06/2021,5816
04/06/2021,5997
05/06/2021,3009
06/06/2021,1959
07/06/2021,4923
08/06/2021,4850
09/06/2021,4757
10/06/2021,5102
11/06/2021,5443
12/06/2021,2909
13/06/2021,2149
14/06/2021,5314
15/06/2021,6093
16/06/2021,4847
17/06/2021,5043
18/06/2021,5411
19/06/2021,2915
20/06/2021,2123
21/06/2021,4686
22/06/2021,4736
23/06/2021,4561
24/06/2021,4648
25/06/2021,5559
26/06/2021,2888
27/06/2021,1892
28/06/2021,5341
29/06/2021,5885
30/06/2021,6188
01/07/2021,6070
02/07/2021,6082
03/07/2021,3416
04/07/2021,2580
05/07/2021,5262
06/07/2021,5008
07/07/2021,5015
08/07/2021,5400
09/07/2021,5778
10/07/2021,3279
11/07/2021,2439
12/07/2021,5129
13/07/2021,5701
14/07/2021,6208
15/07/2021,7166
16/07/2021,6936
17/07/2021,3731
18/07/2021,2823
19/07/2021,5793
20/07/2021,5462
21/07/2021,5796
22/07/2021,5429
23/07/2021,6134
24/07/2021,3415
25/07/2021,2553
26/07/2021,5364
27/07/2021,5562
28/07/2021,5667
29/07/2021,6671
30/07/2021,7654
31/07/2021,4249
01/08/2021,3086
02/08/2021,6048
03/08/2021,5860
04/08/2021,5654
05/08/2021,5677
06/08/2021,5753
07/08/2021,3157
08/08/2021,2483
09/08/2021,5554
10/08/2021,5525
11/08/2021,5513
12/08/2021,6007
13/08/2021,7976
14/08/2021,4291
15/08/2021,3159
16/08/2021,5930
17/08/2021,5678
18/08/2021,5483
19/08/2021,5591
20/08/2021,6364
21/08/2021,3404
22/08/2021,2287
23/08/2021,5405
24/08/2021,5343
25/08/2021,5538
26/08/2021,5627
27/08/2021,6889
28/08/2021,3919
29/08/2021,2945
30/08/2021,6620
31/08/2021,6876
01/09/2021,6627
02/09/2021,6685
03/09/2021,7024
04/09/2021,4243
05/09/2021,2884
06/09/2021,5784
07/09/2021,5608
08/09/2021,5562
09/09/2021,6031
10/09/2021,6750
11/09/2021,3932
12/09/2021,1758
13/09/2021,6295
14/09/2021,7118
15/09/2021,7774
16/09/2021,3734
17/09/2021,6007
18/09/2021,4129
19/09/2021,3382
20/09/2021,6318
21/09/2021,5793
22/09/2021,5485
23/09/2021,6168
24/09/2021,6658
25/09/2021,3832
26/09/2021,2678
27/09/2021,5672
28/09/2021,6062
29/09/2021,6802
30/09/2021,8258
01/10/2021,8159
02/10/2021,4291
03/10/2021,3287
04/10/2021,5831
05/10/2021,6443
06/10/2021,5877
07/10/2021,6342
08/10/2021,7429
09/10/2021,4296
10/10/2021,3306
11/10/2021,6199
12/10/2021,6228
13/10/2021,6697
14/10/2021,7944
15/10/2021,9469
16/10/2021,5103
17/10/2021,3705
18/10/2021,6876
19/10/2021,6359
20/10/2021,6091
21/10/2021,6228
22/10/2021,7657
23/10/2021,4176
24/10/2021,3307
25/10/2021,6619
26/10/2021,6516
27/10/2021,6544
28/10/2021,7537
29/10/2021,9714
30/10/2021,5557
31/10/2021,4006
01/11/2021,7293
02/11/2021,4491
03/11/2021,7097
